host_is_superhost,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,number_of_reviews,price
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,2,50
1.0,Gràcia,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,138,72
0.0,Sants-Montjuïc,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,89,37
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,3,73
1.0,Eixample,Private room in rental unit,Private room,1,2 baths,2.0,1.0,135,53
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,32,44
0.0,Eixample,Entire rental unit,Entire home/apt,8,2 baths,4.0,6.0,44,629
0.0,Eixample,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,39,185
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,3,1 bath,2.0,2.0,1,88
0.0,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,59,227
0.0,Horta-Guinardó,Private room in rental unit,Private room,2,1 shared bath,1.0,2.0,0,25
0.0,Eixample,Private room in home,Private room,2,1 bath,1.0,1.0,34,35
0.0,Sant Martí,Private room in condo,Private room,1,1.5 shared baths,1.0,1.0,55,28
0.0,Gràcia,Private room in rental unit,Private room,2,2 shared baths,1.0,1.0,76,26
1.0,Ciutat Vella,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,390,33
0.0,Sant Martí,Entire rental unit,Entire home/apt,5,1 bath,3.0,4.0,15,129
0.0,Gràcia,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,16,22
0.0,Sants-Montjuïc,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,94,49
0.0,Eixample,Private room in rental unit,Private room,4,1 private bath,1.0,4.0,0,35
0.0,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,37,66
1.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,95,93
0.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,3,45
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,19,91
1.0,Eixample,Entire rental unit,Entire home/apt,5,2 baths,3.0,4.0,232,161
0.0,Eixample,Private room in rental unit,Private room,4,2 shared baths,1.0,2.0,76,36
0.0,Sant Martí,Private room in rental unit,Private room,3,1 private bath,2.0,2.0,0,45
1.0,Sant Martí,Entire condo,Entire home/apt,4,1 bath,1.0,2.0,394,73
0.0,Eixample,Entire rental unit,Entire home/apt,6,2.5 baths,4.0,5.0,0,188
0.0,Eixample,Entire rental unit,Entire home/apt,4,2 baths,3.0,4.0,95,267
0.0,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,2.0,110,80
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,25,110
0.0,Sants-Montjuïc,Room in bed and breakfast,Hotel room,4,5 baths,1.0,4.0,33,21
0.0,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,20,136
1.0,Gràcia,Private room in rental unit,Private room,1,1.5 shared baths,1.0,1.0,9,20
0.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,114,78
0.0,Eixample,Private room in serviced apartment,Private room,2,1.5 shared baths,1.0,1.0,0,10
0.0,Eixample,Private room in rental unit,Private room,2,2 shared baths,1.0,1.0,115,60
0.0,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,4,191
0.0,Eixample,Entire rental unit,Entire home/apt,8,5 baths,4.0,5.0,61,265
1.0,Ciutat Vella,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,2,50
0.0,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,5.0,181,130
0.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,5,95
0.0,Eixample,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,92,80
0.0,Horta-Guinardó,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,3,25
0.0,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,4.0,73,125
1.0,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,5,2 baths,3.0,5.0,154,208
1.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,45,110
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,2.0,5.0,17,65
0.0,Eixample,Room in boutique hotel,Private room,3,1 private bath,1.0,2.0,2,190
0.0,Eixample,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,1,65
0.0,Gràcia,Private room in rental unit,Private room,1,1.5 shared baths,1.0,1.0,1,28
0.0,Horta-Guinardó,Private room in rental unit,Private room,3,1 shared bath,1.0,1.0,0,33
0.0,Eixample,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,0,50
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,0,60
1.0,Eixample,Entire rental unit,Entire home/apt,3,1 bath,1.0,4.0,9,80
0.0,Nou Barris,Entire condo,Entire home/apt,4,1 bath,2.0,2.0,12,75
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1 bath,1.0,1.0,0,35
0.0,Gràcia,Entire rental unit,Entire home/apt,7,2 baths,4.0,5.0,2,112
0.0,Eixample,Entire rental unit,Entire home/apt,6,1 bath,3.0,5.0,295,93
0.0,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,7,60
0.0,Eixample,Private room in rental unit,Private room,1,1 bath,1.0,1.0,1,25
0.0,Gràcia,Entire rental unit,Entire home/apt,5,1 bath,2.0,5.0,13,97
1.0,Les Corts,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,393,66
0.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,48,249
0.0,Eixample,Entire rental unit,Entire home/apt,7,2 baths,3.0,5.0,12,15
1.0,Ciutat Vella,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,200,80
