,host_id,host_is_superhost,neighbourhood,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating,price
11040,346367515,f,,Entire rental unit,Entire home/apt,6,,2 baths,3.0,3.0,0,,$149.00
11431,323353475,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 private bath,1.0,1.0,7,5.0,$65.00
7272,129000409,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,1.0,2,3.5,$89.00
1680,6036028,f,,Private room in rental unit,Private room,2,,1.5 baths,1.0,1.0,28,4.41,$59.00
10430,384577529,f,"Barcelona, Catalunya, Spain",Room in hotel,Private room,2,,1 private bath,1.0,2.0,269,4.72,$80.00
2400,7416666,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,2.0,4.0,335,4.83,$108.00
10764,226804666,f,,Private room in rental unit,Private room,1,,Private half-bath,1.0,2.0,0,,$49.00
5853,195335908,f,"Barcelona, Catalunya, Spain",Room in hotel,Private room,1,,1 bath,1.0,1.0,14,4.86,$66.00
4237,27778700,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,5.0,129,4.92,$157.00
13206,2320210,f,,Entire rental unit,Entire home/apt,4,,2.5 baths,3.0,5.0,1,5.0,$230.00
9800,46754345,f,,Entire loft,Entire home/apt,2,,1 bath,1.0,2.0,0,,$900.00
8383,299489050,f,,Entire rental unit,Entire home/apt,6,,2 baths,4.0,4.0,0,,"$1,310.00"
5424,10547296,f,"Barcelona, Catalunya, Spain",Entire loft,Entire home/apt,3,,1 bath,,2.0,132,4.65,$80.00
4691,147646238,t,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,4.0,270,4.88,$86.00
11394,893805,t,,Entire rental unit,Entire home/apt,6,,2 baths,3.0,4.0,104,4.91,$190.00
2887,1333556,f,,Private room in rental unit,Private room,1,,1 private bath,1.0,2.0,10,4.5,$27.00
4053,128959838,f,,Entire rental unit,Entire home/apt,6,,2 baths,2.0,4.0,4,4.5,$169.00
12027,151051795,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,3 baths,3.0,5.0,11,4.36,$253.00
2923,63904005,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,2.0,56,4.82,$45.00
9396,265193861,f,,Entire rental unit,Entire home/apt,4,,1 bath,3.0,4.0,0,,$81.00
15297,146449002,f,,Entire loft,Entire home/apt,4,,1.5 baths,1.0,2.0,2,5.0,$84.00
3350,3508504,f,,Private room in rental unit,Private room,2,,1 bath,1.0,1.0,0,,$80.00
1413,10547296,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,3 baths,3.0,5.0,277,4.63,$177.00
9582,31087298,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,2 baths,4.0,4.0,3,5.0,$29.00
6692,210667873,t,"BARCELONA, SPAIN, Spain",Room in boutique hotel,Hotel room,4,,1 private bath,1.0,1.0,2,5.0,$224.00
3292,87264987,f,,Private room in home,Private room,1,,1 bath,1.0,1.0,1,5.0,$28.00
1550,396363,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,3.0,18,4.11,$115.00
2047,41141290,f,,Private room in home,Private room,1,,1 shared bath,1.0,1.0,21,4.19,$19.00
15623,429922229,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,0,,$37.00
15158,418270816,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,0,,$67.00
11003,47171261,f,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,34,4.38,$80.00
2377,9784103,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,16,4.56,$157.00
13628,346367515,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,1,5.0,$97.00
1519,893805,t,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,4.0,419,4.88,$129.00
4925,342801269,t,"Barcelona, Catalunya, Spain",Room in boutique hotel,Hotel room,2,,1 private bath,1.0,1.0,68,4.93,$120.00
7234,21472437,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,73,4.79,$71.00
9322,1447144,f,,Entire rental unit,Entire home/apt,6,,1 bath,2.0,5.0,0,,$180.00
7638,265193861,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,3,,2 baths,2.0,3.0,5,4.8,$110.00
8836,29687086,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,36,4.97,$49.00
8250,9478280,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,3,,1 bath,2.0,3.0,2,5.0,$52.00
2855,17469787,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,74,4.77,$42.00
14078,4472095,f,,Private room in condo,Private room,1,,1 private bath,1.0,1.0,2,3.5,$30.00
11127,4459553,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,6.0,37,4.62,$295.00
180,3178074,f,"Barcelona, Catalonia, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,154,4.66,$38.00
5904,20411882,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,1,2.0,$35.00
15399,346367515,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,0,,$121.00
10320,215065532,f,,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,2,5.0,$120.00
4974,156294948,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,2.0,41,4.56,$124.00
7971,116197130,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,11,4.55,$80.00
12562,46914366,f,,Private room in hostel,Private room,3,,1 shared bath,1.0,3.0,27,4.74,$57.00
10470,9478280,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,3,,1 bath,2.0,3.0,0,,$45.00
13539,129000409,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,2 baths,2.0,4.0,7,4.14,$164.00
7158,101458186,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1.5 baths,3.0,5.0,109,4.61,$123.00
2269,21001957,f,"Barcelona, Catalunya, Spain",Entire loft,Entire home/apt,2,,1 bath,1.0,1.0,33,5.0,$119.00
2563,56055112,f,"Barcelona, Catalonia, Spain",Private room in rental unit,Private room,2,,1.5 baths,1.0,2.0,0,,$25.00
15112,479722923,f,,Room in hotel,Private room,4,,1 shared bath,,3.0,1,5.0,$110.00
7124,3376710,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,6.0,0,,$66.00
12954,254922474,f,,Private room in rental unit,Private room,2,,1 private bath,1.0,2.0,0,,$600.00
13576,193874212,f,,Entire rental unit,Entire home/apt,6,,2 baths,4.0,4.0,0,,$102.00
8554,301610993,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,20,4.4,$80.00
5987,146682595,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,4.0,194,4.82,$90.00
8297,301610993,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,1.0,26,4.81,$85.00
341,3853819,f,,Private room in rental unit,Private room,2,,1 bath,1.0,1.0,1,5.0,$70.00
8058,265193861,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,4.0,0,,$72.00
5905,30695229,f,"Barcelona, Catalunya, Spain",Entire condo,Entire home/apt,4,,1 bath,2.0,2.0,3,5.0,$58.00
15631,39473410,f,,Private room in rental unit,Private room,3,,1.5 shared baths,1.0,2.0,0,,$46.00
4239,3359328,f,,Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,0,,$100.00
3437,94858265,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,,1.0,139,4.68,$150.00
2025,19013284,f,,Private room in rental unit,Private room,1,,2 baths,1.0,1.0,0,,$29.00
11519,412923631,f,,Private room in rental unit,Private room,4,,1 private bath,1.0,3.0,13,4.23,$39.00
4048,299462,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,1 bath,4.0,4.0,170,4.77,$99.00
1364,2108468,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,4 baths,4.0,5.0,42,4.6,$185.00
7049,57224574,f,"Barcelona, Catalonia, Spain",Room in serviced apartment,Hotel room,4,,1 private bath,2.0,4.0,51,4.25,$141.00
8132,241046485,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,6,4.33,$51.00
11480,130223809,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,2,5.0,$72.00
2352,28075490,t,,Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,71,4.9,$75.00
13171,58181296,f,"Barcelona, Catalunya, Spain",Private room in condo,Private room,2,,2 baths,2.0,1.0,0,,$85.00
14604,429922229,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,4,,1 shared bath,1.0,3.0,8,4.25,$33.00
10352,204662752,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,1,5.0,$23.00
4243,22994192,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,2,5.0,$27.00
13380,396231020,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,4.0,4.0,1,5.0,$152.00
842,10386910,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,3.0,227,4.65,$120.00
5534,9947075,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,9,5.0,$39.00
5704,192438263,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,96,4.08,$94.00
2777,3972936,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,8,,2 baths,4.0,6.0,2,4.5,$145.00
5578,4101093,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,2.0,126,4.83,$119.00
9081,328987894,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,0,,$45.00
10270,2922864,f,,Entire rental unit,Entire home/apt,3,,1 bath,1.0,2.0,0,,$30.00
2060,21174433,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1.5 baths,1.0,1.0,0,,$31.00
6346,104195584,f,,Private room in rental unit,Private room,2,,1.5 shared baths,1.0,1.0,105,4.75,$40.00
5460,172462374,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,10,5.0,$95.00
15428,131674933,f,,Entire rental unit,Entire home/apt,3,,1 bath,1.0,2.0,0,,$68.00
11543,158023606,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,0,,$317.00
6057,36607755,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,2 shared baths,1.0,1.0,0,,$27.00
13819,346367515,f,,Entire rental unit,Entire home/apt,3,,2 baths,2.0,2.0,0,,$99.00
4981,83548422,f,"Barcelona, Catalunya, Spain",Entire loft,Entire home/apt,2,,1 bath,1.0,1.0,21,4.62,$32.00
3720,8964574,f,,Entire loft,Entire home/apt,4,,1 bath,,3.0,16,4.63,$63.00
9881,396363,f,,Entire rental unit,Entire home/apt,8,,2 baths,3.0,5.0,0,,$188.00
7319,120111668,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,0 shared baths,,1.0,7,5.0,$39.00
8424,302849450,f,"Barcelona, Catalunya, Spain",Shared room in hostel,Shared room,1,,1 shared bath,1.0,,94,4.67,$22.00
15053,480305959,f,,Room in hotel,Private room,2,,1 shared bath,,1.0,0,,$91.00
4201,128959838,f,,Entire rental unit,Entire home/apt,4,,1 bath,1.0,3.0,40,4.75,$175.00
298,1791076,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,6,,1.5 baths,2.0,4.0,165,4.58,$105.00
5250,178208020,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,16,5.0,$85.00
4479,13214438,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,0,,$60.00
14720,325879968,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,23,4.96,$49.00
10342,346367515,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,0,,$160.00
14162,5840515,f,"Barcelona, Catalunya, Spain",Entire home,Entire home/apt,6,,1.5 baths,3.0,5.0,0,,$250.00
6832,162769619,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,1,1.0,$20.00
14404,32037490,f,,Entire rental unit,Entire home/apt,4,,1 bath,1.0,1.0,3,4.33,$94.00
3727,99645067,f,"Barcelona, CT, Spain",Private room in rental unit,Private room,4,,1 shared bath,2.0,2.0,180,4.72,$40.00
7178,54320669,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,61,4.39,$85.00
10909,403653207,f,,Entire rental unit,Entire home/apt,6,,1 bath,3.0,3.0,95,4.58,$103.00
1426,7742217,f,,Entire rental unit,Entire home/apt,6,,2 baths,3.0,4.0,1,5.0,$150.00
10357,3775349,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,2,,1 bath,1.0,2.0,0,,$300.00
8206,130223809,f,,Entire rental unit,Entire home/apt,3,,1 bath,2.0,2.0,6,3.67,$49.00
732,7758783,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,5.0,143,4.4,$146.00
14158,582060,f,,Entire rental unit,Entire home/apt,4,,1.5 baths,2.0,2.0,10,4.5,$79.00
1349,582060,f,"barcelona, Barcelona, Spain",Entire rental unit,Entire home/apt,6,,3 baths,3.0,5.0,190,4.76,$87.00
5618,4101093,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,2 baths,2.0,2.0,126,4.85,$132.00
6595,1447144,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,1 bath,3.0,5.0,8,4.38,$130.00
4758,139114412,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,52,4.92,$66.00
1021,10884463,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,30,4.93,$32.00
2093,37648307,f,"Barcelona, Catalonia, Spain",Private room in rental unit,Private room,2,,1 bath,1.0,1.0,9,4.56,$40.00
5148,158023606,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,118,4.57,$115.00
312,134673,f,"Barcelona, Ca, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,342,4.72,$154.00
12017,432993130,t,,Entire rental unit,Entire home/apt,2,,1 bath,2.0,2.0,8,4.88,$70.00
9583,18575594,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,0,,$33.00
14170,9400556,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,12,4.67,$64.00
2163,39328627,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,10,,3 baths,5.0,8.0,255,4.73,$672.00
13566,404704327,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,21,4.57,$32.00
4038,2176127,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,4.0,112,4.49,$73.00
14861,408494871,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,0,,$55.00
3953,79500346,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,2 shared baths,1.0,1.0,4,5.0,$23.00
10497,400416,f,,Entire rental unit,Entire home/apt,2,,1 bath,2.0,2.0,1,5.0,$60.00
17,183340,f,,Entire rental unit,Entire home/apt,4,,2 baths,2.0,4.0,61,4.38,$121.00
13272,212431311,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,19,3.95,$74.00
7807,277158795,f,"Barcelona, Catalonia, Spain",Private room in rental unit,Private room,3,,2 baths,1.0,2.0,4,3.75,$80.00
5012,156294948,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,5,,2 baths,2.0,2.0,0,,$98.00
5386,299462,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,143,4.76,$101.00
12849,365078872,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,13,4.54,$111.00
4547,146256783,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,76,4.82,$30.00
5160,130179961,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,0,,$38.00
9395,222058736,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,46,4.7,$101.00
6202,213113891,t,,Private room in hostel,Private room,2,,1 bath,,,4,4.0,$63.00
7878,1503266,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,0,,$75.00
7561,266193111,t,"Barcelona, Catalunya, Spain",Room in boutique hotel,Private room,2,,1 shared bath,,1.0,17,4.71,$91.00
7952,6412824,t,"Barcelona, Spain",Entire rental unit,Entire home/apt,3,,1 bath,1.0,1.0,1,5.0,$40.00
1212,14120404,t,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,2.0,238,4.69,$104.00
9707,309186126,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,1,5.0,$20.00
11458,212431311,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,1.0,30,4.0,$80.00
5030,8843962,f,,Entire rental unit,Entire home/apt,5,,1 bath,1.0,3.0,304,4.85,$75.00
9365,332259450,f,,Private room in rental unit,Private room,1,,1 private bath,1.0,2.0,0,,$24.00
4901,158023606,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,13,4.54,$104.00
4623,9456665,f,,Private room in hostel,Private room,2,,1 shared bath,1.0,2.0,47,4.79,$76.00
7368,260110823,t,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,7,,2 baths,3.0,6.0,20,4.8,$351.00
9937,346367515,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,1,5.0,$91.00
12304,10704,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,2,,1 bath,1.0,1.0,0,,$90.00
6265,40937533,f,"Barcelona, Catalonia, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,5,3.75,$27.00
1821,26521943,f,,Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,139,4.47,$90.00
14343,8737410,f,,Private room in home,Private room,1,,1 private bath,1.0,1.0,6,4.33,$29.00
3676,94194740,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,17,4.76,$19.00
7296,163299732,f,"Barcelona, Catalunya, Spain",Private room in condo,Private room,2,,1 shared bath,,1.0,2,0.0,$39.00
3441,26513958,t,"Barcelona, Catalunya, Spain",Entire loft,Entire home/apt,2,,1 bath,1.0,1.0,156,4.88,$100.00
10415,80019305,f,,Entire condo,Entire home/apt,2,,1 bath,1.0,1.0,3,5.0,$48.00
2099,41807465,f,"Barcelona, barcelona, Spain",Shared room in hostel,Shared room,6,,1.5 shared baths,1.0,1.0,73,4.44,$35.00
7881,278812414,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,2 baths,3.0,4.0,25,4.72,$73.00
12938,450631948,t,,Private room in rental unit,Private room,1,,1.5 shared baths,1.0,1.0,14,4.93,$44.00
13160,394270439,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,17,4.47,$104.00
691,8160375,t,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,3,,1 bath,1.0,2.0,460,4.76,$68.00
3998,17514775,t,"Barcelona, Catalunya, Spain",Private room in home,Private room,3,,1 private bath,1.0,3.0,46,4.54,$63.00
1191,15726842,f,"Barcelona, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,18,4.61,$39.00
3281,43259405,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,3.0,194,4.51,$110.00
11669,421851711,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,0,,$40.00
4302,5878688,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,5,,2 baths,2.0,3.0,369,4.45,$135.00
4391,4459553,f,"BARCELONA, city, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,3.0,84,4.42,$186.00
5631,37661219,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,24,4.92,$21.00
6123,174751009,f,,Entire rental unit,Entire home/apt,4,,1 bath,3.0,3.0,156,4.63,$158.00
4889,22076771,t,,Entire rental unit,Entire home/apt,4,,1 bath,3.0,3.0,0,,$50.00
14324,470967771,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,10,4.7,$45.00
491,2745490,t,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,30,4.87,$42.00
6979,32037490,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,8,,2 baths,3.0,5.0,38,4.21,$96.00
2671,42613804,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,3,,1 bath,2.0,2.0,32,4.53,$100.00
8384,59152387,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,21,4.67,$97.00
9252,236937981,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,,1,5.0,$50.00
11979,70278696,t,,Entire rental unit,Entire home/apt,6,,1 bath,2.0,2.0,47,4.94,$120.00
11032,175128252,f,,Room in hotel,Private room,3,,1 private bath,1.0,3.0,0,,"$1,490.00"
4683,21726991,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,2.0,1.0,0,,$140.00
2763,566943,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,64,4.39,$83.00
2140,39588001,f,,Private room in rental unit,Private room,1,,1 bath,1.0,1.0,0,,$35.00
15744,447375626,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,3,,1.5 baths,2.0,2.0,0,,$93.00
5874,2262273,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,0,,$400.00
423,4217311,t,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,6.0,182,4.88,$131.00
14000,17973595,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1.5 shared baths,1.0,1.0,18,4.94,$33.00
9558,49896352,f,,Private room in guest suite,Private room,1,,1 shared bath,,,2,5.0,$19.00
2076,98297,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1.5 baths,2.0,2.0,171,4.75,$85.00
6716,229966942,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,2.0,8,5.0,$96.00
3919,129121059,f,,Private room in guest suite,Private room,2,,1.5 shared baths,1.0,1.0,15,4.87,$60.00
11116,175128252,f,,Room in aparthotel,Entire home/apt,2,,1 bath,1.0,1.0,0,,"$1,490.00"
9565,170880118,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1.5 shared baths,1.0,1.0,16,4.69,$200.00
785,7894301,t,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,4.0,152,4.89,$106.00
11020,299462,f,,Entire rental unit,Entire home/apt,6,,1.5 baths,3.0,5.0,45,4.31,$86.00
4534,139063900,f,,Entire rental unit,Entire home/apt,6,,2 baths,3.0,4.0,111,4.78,$91.00
13767,464107618,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,2.0,3,5.0,$40.00
4287,139063900,f,,Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,45,4.84,$87.00
3619,4547731,f,"Barcelona, CT, Spain",Entire rental unit,Entire home/apt,3,,1 bath,2.0,3.0,5,4.0,$69.00
7515,52002521,t,"Barcelona, Catalunya, Spain",Private room in condo,Private room,2,,1 shared bath,1.0,1.0,123,4.8,$54.00
4769,82436463,f,,Private room in rental unit,Private room,1,,1 shared bath,,1.0,0,,$20.00
12837,12617302,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,7,,1.5 baths,3.0,4.0,12,4.33,$82.00
8444,278232287,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,21,4.33,$30.00
4628,52101192,f,"Barcelona, Catalunya, Spain",Private room in condo,Private room,2,,1 private bath,1.0,1.0,67,4.63,$40.00
5318,174751009,f,,Entire rental unit,Entire home/apt,5,,1 bath,2.0,2.0,71,4.56,$77.00
15467,32037490,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,3,4.33,$70.00
3017,31325463,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,3,4.33,$180.00
8967,111440430,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,1,4.0,$44.00
10729,397201984,t,,Room in boutique hotel,Private room,3,,1 private bath,1.0,2.0,58,4.95,$118.00
12447,346367515,f,,Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,0,,$127.00
12303,10704,f,,Entire serviced apartment,Entire home/apt,3,,1 bath,1.0,3.0,18,4.11,$106.00
13584,275930634,f,,Entire condo,Entire home/apt,4,,1.5 baths,2.0,4.0,0,,$65.00
8657,771458,f,,Private room in rental unit,Private room,1,,1.5 shared baths,1.0,1.0,2,5.0,$18.00
6453,18002674,f,,Entire rental unit,Entire home/apt,8,,2 baths,4.0,4.0,185,4.56,$85.00
9028,331100321,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 private bath,1.0,1.0,0,,$30.00
3623,114338664,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,133,4.65,$97.00
5251,3073594,f,,Entire rental unit,Entire home/apt,5,,2 baths,3.0,5.0,6,4.8,$90.00
14041,294365221,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,11,4.45,$67.00
725,396363,f,,Entire rental unit,Entire home/apt,4,,1 bath,1.0,3.0,9,4.22,$131.00
768,9800084,t,"Barcelona, Catalonia, Spain",Entire condo,Entire home/apt,6,,2 baths,4.0,5.0,469,4.8,$222.00
7442,265603878,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,9,,2 baths,5.0,5.0,38,4.92,$206.00
14192,5264883,f,,Entire rental unit,Entire home/apt,6,,2 baths,2.0,4.0,0,,$93.00
9214,189933813,f,,Private room in rental unit,Private room,3,,1 shared bath,1.0,,0,,$50.00
904,10655439,f,"Barcelona, Catalonia, Spain",Entire loft,Entire home/apt,2,,1 bath,1.0,1.0,136,4.59,$75.00
