,host_id,host_is_superhost,neighbourhood,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating,price
8311,94858265,f,,Entire rental unit,Entire home/apt,3,,1.5 baths,2.0,2.0,14,4.64,$39.00
11520,416426071,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,44,4.45,$23.00
8500,308485438,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,3,4.67,$40.00
8951,1447144,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,1,5.0,$140.00
14545,472651894,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,2,,1 bath,1.0,1.0,1,5.0,$118.00
13331,2608358,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,2 shared baths,1.0,1.0,2,5.0,$45.00
6937,145868022,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,2.0,24,4.96,$30.00
15125,10704,f,,Entire serviced apartment,Entire home/apt,4,,1 bath,3.0,4.0,1,5.0,$119.00
1630,28650046,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,72,4.63,$52.00
15442,370718107,t,,Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,0,,$90.00
7784,13172148,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,3.0,3.0,21,3.71,$106.00
2587,23419183,f,,Private room in rental unit,Private room,4,,2 baths,1.0,2.0,0,,$35.00
5098,69240049,t,"Barcelona, Catalonia, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,184,4.78,$54.00
1586,24650386,f,,Private room in rental unit,Private room,2,,1.5 baths,1.0,1.0,0,,$50.00
3444,15944590,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,146,4.99,$257.00
10261,5614931,f,,Entire rental unit,Entire home/apt,5,,1 bath,2.0,4.0,17,4.82,$218.00
9114,31614488,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,2.0,2.0,0,,$45.00
9394,265193861,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,2.0,3,3.33,$85.00
12997,205570052,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,12,3.67,$38.00
7070,1865692,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,,1.0,0,,$41.00
