host_is_superhost,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,number_of_reviews,price
f,Ciutat Vella,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,32,$44.00
f,Eixample,Entire rental unit,Entire home/apt,8,2 baths,4.0,6.0,44,$629.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,2,1 bath,,1.0,1,$50.00
f,Eixample,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,39,$185.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,3,1 bath,2.0,2.0,1,$88.00
f,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,59,$227.00
f,Horta-Guinardó,Private room in rental unit,Private room,2,1 shared bath,1.0,2.0,0,$25.00
f,Eixample,Private room in home,Private room,2,1 bath,1.0,1.0,34,$35.00
f,Sant Martí,Private room in condo,Private room,1,1.5 shared baths,1.0,1.0,55,$28.00
f,Gràcia,Private room in rental unit,Private room,2,2 shared baths,1.0,1.0,76,$26.00
t,Ciutat Vella,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,390,$33.00
f,Sant Martí,Entire rental unit,Entire home/apt,5,1 bath,3.0,4.0,15,$129.00
f,Gràcia,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,16,$22.00
f,Sants-Montjuïc,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,94,$49.00
f,Eixample,Private room in rental unit,Private room,4,1 private bath,1.0,4.0,0,$35.00
t,Ciutat Vella,Room in boutique hotel,Private room,1,1 private bath,1.0,,28,$73.00
f,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,37,$66.00
t,Eixample,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,95,$93.00
f,Gràcia,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,67,"$4,044.00"
f,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,3,$45.00
f,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,4,1 bath,,,2,$184.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,19,$91.00
t,Eixample,Entire rental unit,Entire home/apt,5,2 baths,3.0,4.0,232,$161.00
f,Eixample,Private room in rental unit,Private room,4,2 shared baths,1.0,2.0,76,$36.00
f,Sant Martí,Private room in rental unit,Private room,3,1 private bath,2.0,2.0,0,$45.00
t,Sant Martí,Entire condo,Entire home/apt,4,1 bath,1.0,2.0,394,$73.00
f,Eixample,Entire rental unit,Entire home/apt,6,2.5 baths,4.0,5.0,0,$188.00
f,Eixample,Entire rental unit,Entire home/apt,4,2 baths,3.0,4.0,95,$267.00
f,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,2.0,110,$80.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,25,$110.00
f,Sants-Montjuïc,Room in bed and breakfast,Hotel room,4,5 baths,1.0,4.0,33,$21.00
f,Ciutat Vella,Room in hotel,Private room,4,1.5 baths,1.0,,1,$191.00
f,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,20,$136.00
t,Gràcia,Private room in rental unit,Private room,1,1.5 shared baths,1.0,1.0,9,$20.00
f,Sants-Montjuïc,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,114,$78.00
f,Eixample,Private room in serviced apartment,Private room,2,1.5 shared baths,1.0,1.0,0,$10.00
f,Eixample,Private room in rental unit,Private room,2,2 shared baths,1.0,1.0,115,$60.00
f,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,4,$191.00
f,Eixample,Entire rental unit,Entire home/apt,8,5 baths,4.0,5.0,61,$265.00
t,Ciutat Vella,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,2,$50.00
f,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,5.0,181,$130.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,10,3 baths,5.0,6.0,44,$288.00
f,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,5,$95.00
f,Eixample,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,92,$80.00
f,Horta-Guinardó,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,3,$25.00
f,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,4.0,73,$125.00
t,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,5,2 baths,3.0,5.0,154,$208.00
t,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,45,$110.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,2.0,5.0,17,$65.00
f,Eixample,Room in boutique hotel,Private room,3,1 private bath,1.0,2.0,2,$190.00
f,Eixample,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,1,$65.00
f,Gràcia,Private room in rental unit,Private room,1,1.5 shared baths,1.0,1.0,1,$28.00
f,Horta-Guinardó,Private room in rental unit,Private room,3,1 shared bath,1.0,1.0,0,$33.00
f,Eixample,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,0,$50.00
f,Ciutat Vella,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,0,$60.00
t,Eixample,Entire rental unit,Entire home/apt,3,1 bath,1.0,4.0,9,$80.00
f,Nou Barris,Entire condo,Entire home/apt,4,1 bath,2.0,2.0,12,$75.00
f,Ciutat Vella,Private room in rental unit,Private room,2,1 bath,1.0,1.0,0,$35.00
f,Gràcia,Entire rental unit,Entire home/apt,7,2 baths,4.0,5.0,2,$112.00
f,Eixample,Entire rental unit,Entire home/apt,6,1 bath,3.0,5.0,295,$93.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,2,1 bath,,1.0,285,$113.00
f,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,7,$60.00
f,Eixample,Private room in rental unit,Private room,1,1 bath,1.0,1.0,1,$25.00
f,Sant Martí,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,119,"$8,999.00"
f,Gràcia,Entire rental unit,Entire home/apt,5,1 bath,2.0,5.0,13,$97.00
t,Les Corts,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,393,$66.00
f,Eixample,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,48,$249.00
